"file","date","time","community","replicate","measure_point","Tet","Pca","Col","Ble","hours"
"sample_0018","2019-01-17",10,"Ble_Pca",3,"t5",0,64.0279067150533,0,1.57537907559006,72
"sample_0019","2019-01-17",10,"Ble_Col",1,"t5",0,0,1551.6921259178,0,72
"sample_0020","2019-01-17",10,"Ble_Col",2,"t5",0,0,1392.52257574479,0,72
"sample_0021","2019-01-17",10,"Ble_Col",3,"t5",0,0,1367.14771992011,0,72
"sample_0022","2019-01-17",10,"Tet_Ble_Pca",1,"t5",5073.28325878415,101.386896221903,0,0,72
"sample_0023","2019-01-17",10,"Tet_Ble_Pca",2,"t5",5006.49843868681,134.807438039778,0,8.21447660843391,72
"sample_0024","2019-01-17",10,"Tet_Ble_Pca",3,"t5",4397.72695304808,110.332798829718,0,0,72
"sample_0025","2019-01-17",10,"Tet_Ble_Col",1,"t5",3653.41660337019,0,1383.74546375222,0,72
"sample_0026","2019-01-17",10,"Tet_Ble_Col",2,"t5",3572.62216220778,0,1315.55405519453,0,72
"sample_0027","2019-01-17",10,"Tet_Ble_Col",3,"t5",3448.05468815934,0,1044.25127296256,0,72
"sample_0001","2019-01-18",10,"Tet",1,"t6",3323.31842349565,0,0,0,96
"sample_0002","2019-01-18",10,"Tet",2,"t6",5381.38239513883,0,0,0,96
"sample_0003","2019-01-18",10,"Tet",3,"t6",6840.68979098095,0,0,0,96
"sample_0004","2019-01-18",10,"Pca",1,"t6",0,180.380904155062,0,0,96
"sample_0005","2019-01-18",10,"Pca",2,"t6",0,113.764874672968,0,0,96
"sample_0006","2019-01-18",10,"Pca",3,"t6",0,102.568430528596,0,0,96
"sample_0007","2019-01-18",10,"Col",1,"t6",0,0,1577.74214420345,0,96
"sample_0008","2019-01-18",10,"Col",2,"t6",0,0,1593.04582665204,0,96
"sample_0009","2019-01-18",10,"Col",3,"t6",0,0,1452.38698061721,0,96
"sample_0010","2019-01-18",10,"Ble",1,"t6",0,0,0,8.77711199257321,96
"sample_0011","2019-01-18",10,"Ble",2,"t6",0,0,0,6.86415168649956,96
"sample_0012","2019-01-18",10,"Ble",3,"t6",0,0,0,16.6540073705235,96
"sample_0013","2019-01-18",10,"Ble_Tet",1,"t6",5919.88072129856,0,0,18.9608124454947,96
"sample_0014","2019-01-18",10,"Ble_Tet",2,"t6",6145.55377387684,0,0,0,96
"sample_0015","2019-01-18",10,"Ble_Tet",3,"t6",5234.14071510957,0,0,8.15821307001997,96
"sample_0016","2019-01-18",10,"Ble_Pca",1,"t6",0,146.003882184151,0,8.04568599319211,96
"sample_0017","2019-01-18",10,"Ble_Pca",2,"t6",0,120.010127436915,0,8.49579430050356,96
"sample_0018","2019-01-18",10,"Ble_Pca",3,"t6",0,95.5354882268546,0,2.64438630545475,96
"sample_0019","2019-01-18",10,"Ble_Col",1,"t6",0,0,1853.03963766281,0,96
"sample_0020","2019-01-18",10,"Ble_Col",2,"t6",0,0,1525.36078994008,7.42678707063887,96
"sample_0021","2019-01-18",10,"Ble_Col",3,"t6",0,0,1394.15421835879,0,96
"sample_0022","2019-01-18",10,"Tet_Ble_Pca",1,"t6",4090.75308746167,139.308521112893,0,10.8588629138887,96
"sample_0023","2019-01-18",10,"Tet_Ble_Pca",2,"t6",3567.89602498101,200.466987368836,0,8.3832672236757,96
"sample_0024","2019-01-18",10,"Tet_Ble_Pca",3,"t6",4014.68478352604,159.957239710805,0,0,96
"sample_0025","2019-01-18",10,"Tet_Ble_Col",1,"t6",3429.65651109798,0,1317.01690719329,0,96
"sample_0026","2019-01-18",10,"Tet_Ble_Col",2,"t6",2738.17762399077,0,1242.07387402594,0,96
"sample_0027","2019-01-18",10,"Tet_Ble_Col",3,"t6",3693.47624272091,0,1091.56890876867,0,96
"sample_0001","2019-01-21",10,"Tet",1,"t7",3975.58162432835,0,0,0,168
"sample_0002","2019-01-21",10,"Tet",2,"t7",5843.64362674769,0,0,0,168
"sample_0003","2019-01-21",10,"Tet",3,"t7",6209.75047120713,0,0,0,168
"sample_0004","2019-01-21",10,"Pca",1,"t7",0,144.653557262216,0,0,168
"sample_0005","2019-01-21",10,"Pca",2,"t7",0,197.203702140828,0,0,168
"sample_0006","2019-01-21",10,"Pca",3,"t7",0,189.495597378119,0,0,168
"sample_0007","2019-01-21",10,"Col",1,"t7",0,0,1270.93706923228,0,168
"sample_0008","2019-01-21",10,"Col",2,"t7",0,0,1826.98961937716,0,168
"sample_0009","2019-01-21",10,"Col",3,"t7",0,0,2026.27507243931,0,168
"sample_0010","2019-01-21",10,"Ble",1,"t7",0,0,0,66.2221847131966,168
"sample_0011","2019-01-21",10,"Ble",2,"t7",0,0,0,106.788195909641,168
"sample_0012","2019-01-21",10,"Ble",3,"t7",0,0,0,53.7879427237179,168
"sample_0013","2019-01-21",10,"Ble_Tet",1,"t7",2699.63710017723,0,0,55.5321124145498,168
"sample_0014","2019-01-21",10,"Ble_Tet",2,"t7",2616.87343517034,0,0,20.367400905843,168
"sample_0015","2019-01-21",10,"Ble_Tet",3,"t7",2395.08256674262,0,0,37.1901988916083,168
"sample_0016","2019-01-21",10,"Ble_Pca",1,"t7",0,133.513376656258,0,11.0839170675444,168
"sample_0017","2019-01-21",10,"Ble_Pca",2,"t7",0,128.618448814246,0,13.053140912032,168
"sample_0018","2019-01-21",10,"Ble_Pca",3,"t7",0,208.512673362028,0,8.55205783891749,168
"sample_0019","2019-01-21",10,"Ble_Col",1,"t7",0,0,1895.29355501167,10.4650181449911,168
"sample_0020","2019-01-21",10,"Ble_Col",2,"t7",0,0,2211.49464089797,0.956480153036825,168
"sample_0021","2019-01-21",10,"Ble_Col",3,"t7",0,0,2031.22626381973,8.77711199257321,168
"sample_0022","2019-01-21",10,"Tet_Ble_Pca",1,"t7",1466.90297352801,129.518665428869,0,24.0807944411624,168
"sample_0023","2019-01-21",10,"Tet_Ble_Pca",2,"t7",1562.83230652376,96.9420766872029,0,16.9915886010071,168
"sample_0024","2019-01-21",10,"Tet_Ble_Pca",3,"t7",1115.70596674825,45.0670942695586,0,6.9204152249135,168
"sample_0025","2019-01-21",10,"Tet_Ble_Col",1,"t7",109.320055138268,0,1532.95636762596,26.7251807466172,168
"sample_0026","2019-01-21",10,"Tet_Ble_Col",2,"t7",423.214335949588,0,2004.38855599629,37.415253045264,168
"sample_0027","2019-01-21",10,"Tet_Ble_Col",3,"t7",83.2137733142037,0,1534.25042900948,35.5585562776043,168
"sample_0001","2019-01-23",10,"Tet",1,"t8",3114.74948659521,0,0,0,216
"sample_0002","2019-01-23",10,"Tet",2,"t8",6043.43545165555,0,0,0,216
"sample_0003","2019-01-23",10,"Tet",3,"t8",5427.12465186936,0,0,0,216
"sample_0004","2019-01-23",10,"Pca",1,"t8",0,72.2986468619011,0,0,216
"sample_0005","2019-01-23",10,"Pca",2,"t8",0,94.6915351506456,0,0,216
"sample_0006","2019-01-23",10,"Pca",3,"t8",0,112.63960390469,0,0,216
"sample_0007","2019-01-23",10,"Col",1,"t8",0,0,1806.67848200973,0,216
"sample_0008","2019-01-23",10,"Col",2,"t8",0,0,1756.43514220609,0,216
"sample_0009","2019-01-23",10,"Col",3,"t8",0,0,1256.53360339832,0,216
"sample_0010","2019-01-23",10,"Ble",1,"t8",0,0,0,115.902889132698,216
"sample_0011","2019-01-23",10,"Ble",2,"t8",0,0,0,91.3157228458098,216
"sample_0012","2019-01-23",10,"Ble",3,"t8",0,0,0,206.599713055954,216
"sample_0013","2019-01-23",10,"Ble_Tet",1,"t8",19.1858665991504,0,0,172.278954623456,216
"sample_0014","2019-01-23",10,"Ble_Tet",2,"t8",5.23250907249557,0,0,136.607871269024,216
"sample_0015","2019-01-23",10,"Ble_Tet",3,"t8",4.66987368835626,0,0,146.56651756829,216
"sample_0016","2019-01-23",10,"Ble_Pca",1,"t8",0,251.104171941373,0,44.0543505781079,216
"sample_0017","2019-01-23",10,"Ble_Pca",2,"t8",0,149.829802796298,0,0,216
"sample_0018","2019-01-23",10,"Ble_Pca",3,"t8",0,187.695164148873,0,12.6030326047205,216
"sample_0019","2019-01-23",10,"Ble_Col",1,"t8",0,0,2386.02413705798,1.68790615241793,216
"sample_0020","2019-01-23",10,"Ble_Col",2,"t8",0,0,2506.20305511014,1.29406138352041,216
"sample_0021","2019-01-23",10,"Ble_Col",3,"t8",0,0,2316.6511941936,9.05842968464287,216
"sample_0022","2019-01-23",10,"Tet_Ble_Pca",1,"t8",2.47559569021296,131.712943427012,0,100.374152530453,216
"sample_0023","2019-01-23",10,"Tet_Ble_Pca",2,"t8",14.8535741412777,74.1553436295609,0,74.6617154752862,216
"sample_0024","2019-01-23",10,"Tet_Ble_Pca",3,"t8",16.8790615241793,62.621318254705,0,112.414549751034,216
"sample_0025","2019-01-23",10,"Tet_Ble_Col",1,"t8",0,0,898.641235547304,38.3717331983008,216
"sample_0026","2019-01-23",10,"Tet_Ble_Col",2,"t8",0,0,2152.47418910175,37.7528342757476,216
"sample_0027","2019-01-23",10,"Tet_Ble_Col",3,"t8",9.33974737671252,0,787.464483641376,50.8622387261935,216
